Screened References,Results_0,Results_1,Results_2,Results_3,Results_4,Results_5,Results_6,Results_7,Results_8,Results_9,Results_10,Results_11,Results_12,Results_13,Results_14
3300,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3310,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3320,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3330,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3340,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3350,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3360,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3370,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3380,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3390,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3400,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3410,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3420,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3430,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3440,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3450,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3460,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3470,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3480,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3490,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3500,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3510,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3520,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3530,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3540,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3550,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3560,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3570,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3580,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3590,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3600,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3610,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3620,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3630,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3640,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3650,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3660,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3670,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3680,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3690,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3700,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3710,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3720,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3730,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3740,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3750,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3760,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3770,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3780,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3790,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3800,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3810,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3820,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3830,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3840,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3850,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3860,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3870,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3880,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3890,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3900,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3910,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3920,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3930,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3940,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3950,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3960,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3970,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3980,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
3990,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4000,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4010,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4020,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4030,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4040,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4050,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4060,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4070,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4080,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4090,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4100,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4110,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4120,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4130,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4140,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
4150,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
